timestamp,temperature,pressure,level,flow,heater,pump,valve,safety_status,alarm
2026-08-21T16:47:57.262312,150.0,5.0,70.0,35.0,1,1,45.0,NORMAL,
2026-08-21T16:47:57.262445,148.83,4.89,70.21,35.87,1,1,40.0,NORMAL,
2026-08-21T16:47:57.262539,147.78,4.78,70.36,36.78,1,1,35.0,NORMAL,
2026-08-21T16:47:57.262621,146.82,4.66,70.6,37.29,1,1,30.0,NORMAL,
2026-08-21T16:47:57.262699,145.71,4.56,70.83,37.2,1,1,25.0,NORMAL,
2026-08-21T16:47:57.262780,144.55,4.49,71.04,37.28,1,1,20.0,NORMAL,
2026-08-21T16:47:57.262854,143.49,4.41,71.26,37.03,1,1,20.0,NORMAL,
2026-08-21T16:47:57.262936,142.53,4.32,71.47,36.47,1,1,20.0,NORMAL,
2026-08-21T16:47:57.263008,141.52,4.22,71.66,36.2,1,1,20.0,NORMAL,
2026-08-21T16:47:57.263095,140.65,11.0,71.85,35.82,0,0,100.0,EMERGENCY,CRITICAL: HIGH PRESSURE
2026-08-21T16:47:57.263175,138.55,10.35,71.76,33.74,0,0,100.0,EMERGENCY,CRITICAL: HIGH PRESSURE
2026-08-21T16:47:57.263254,136.54,9.72,71.66,31.45,0,0,100.0,EMERGENCY,SAFETY TRIP LATCHED
2026-08-21T16:47:57.263330,134.43,9.13,71.49,29.38,0,0,100.0,EMERGENCY,SAFETY TRIP LATCHED
2026-08-21T16:47:57.263403,132.56,8.56,71.35,27.79,0,0,100.0,EMERGENCY,SAFETY TRIP LATCHED
2026-08-21T16:47:57.263476,130.59,8.07,71.24,26.26,0,0,100.0,EMERGENCY,SAFETY TRIP LATCHED
2026-08-21T16:47:57.263549,128.76,7.6,71.14,24.51,0,0,100.0,EMERGENCY,SAFETY TRIP LATCHED
2026-08-21T16:47:57.263641,126.98,7.13,71.05,22.91,1,0,100.0,NORMAL,
2026-08-21T16:47:57.263710,126.16,6.7,70.95,21.61,1,0,100.0,NORMAL,
2026-08-21T16:47:57.263779,125.48,6.34,70.84,20.52,1,0,100.0,NORMAL,
2026-08-21T16:47:57.263850,124.71,5.97,70.75,19.23,1,0,95.0,NORMAL,
